# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Feb  5 13:10:30 2022
# CONSTRAINT:  where (pl_rade < 5) CONSTRAINT:  and (pl_massestr < 10)


pl_name,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim
GJ 1132 b,0.015300,0.000500,-0.000500,0,1.130,0.056,-0.056,0,1.66000,0.23000,-0.23000,0,529,9,-9,0,3270.00,140.00,-140.00,0,0.21,0.01,-0.01,0
Kepler-78 b,,,,,1.200,0.090,-0.090,0,1.69000,0.41000,-0.41000,0,,,,,5121.00,44.00,-44.00,0,0.74,0.05,-0.05,0
Kepler-11 f,,,,,2.600,0.200,-0.200,0,1.70000,0.50000,-0.40000,0,,,,,,,,,,,,
LHS 1140 c,0.027340,0.000540,-0.000540,0,1.169,0.037,-0.038,0,1.76000,0.17000,-0.16000,0,709,8,-8,0,,,,,0.21,0.00,0.00,0
Kepler-78 b,,,,,1.228,0.018,-0.019,0,1.77000,0.24000,-0.25000,0,,,,,5121.00,44.00,-44.00,0,0.75,0.01,-0.01,0
K2-3 d,0.209700,0.006500,-0.007000,0,1.650,0.170,-0.170,0,1.80000,,,1,,,,,3835.00,70.00,-70.00,0,0.60,0.06,-0.06,0
LHS 1140 c,0.026750,0.000700,-0.000700,0,1.282,0.024,-0.024,0,1.81000,0.39000,-0.39000,0,438,9,-9,0,3216.00,39.00,-39.00,0,0.21,0.00,0.00,0
GJ 357 b,0.035000,0.002000,-0.002000,0,1.217,0.084,-0.083,0,1.84000,0.31000,-0.31000,0,525,11,-9,0,3505.00,51.00,-51.00,0,0.34,0.01,-0.01,0
GJ 3473 b,0.015890,0.000620,-0.000620,0,1.264,0.050,-0.049,0,1.86000,0.30000,-0.30000,0,773,16,-15,0,3347.00,54.00,-54.00,0,0.36,0.01,-0.01,0
Kepler-78 b,,,,,1.173,0.159,-0.089,0,1.86000,0.38000,-0.25000,0,2250,750,-750,0,5058.00,50.00,-50.00,0,0.74,0.03,-0.04,0
Kepler-78 b,,,,,1.200,0.090,-0.090,0,1.87000,0.27000,-0.26000,0,,,,,,,,,,,,
Kepler-11 b,0.091000,0.001000,-0.001000,0,1.800,0.030,-0.050,0,1.90000,1.40000,-1.00000,0,,,,,5663.00,55.00,-66.00,0,1.06,0.02,-0.02,0
Kepler-307 c,,,,,2.810,1.050,-0.410,0,1.90000,1.60000,-1.00000,0,,,,,,,,,1.08,,,0
L 98-59 d,0.048600,0.001800,-0.001900,0,1.521,0.119,-0.098,0,1.94000,0.28000,-0.28000,0,416,20,-20,0,3415.00,135.00,-135.00,0,0.30,0.03,-0.02,0
Kepler-78 b,,,,,1.121,0.112,-0.112,0,1.96716,0.53449,-0.53449,0,,,,,5089.00,50.00,-50.00,0,0.75,0.03,-0.03,0
Kepler-138 c,,,,,1.197,0.070,-0.070,0,1.97000,1.91200,-1.12000,0,,,,,3841.00,49.00,-49.00,0,0.44,0.02,-0.02,0
Kepler-11 f,0.250000,0.002000,-0.002000,0,2.490,0.040,-0.070,0,2.00000,0.80000,-0.90000,0,,,,,5663.00,55.00,-66.00,0,1.06,0.02,-0.02,0
Kepler-177 b,,,,,2.900,1.520,-0.300,0,2.00000,0.50000,-0.30000,0,,,,,,,,,1.07,0.56,-0.11,0
Kepler-60 c,,,,,1.800,0.300,-0.300,0,2.00000,0.30000,-0.50000,0,,,,,,,,,,,,
Kepler-47 b,0.287700,0.001400,-0.001100,0,3.050,0.040,-0.040,0,2.07000,23.70000,-2.07000,0,,,,,,,,,0.94,0.01,-0.01,0
GJ 1252 b,0.009160,0.000760,-0.000760,0,1.193,0.074,-0.074,0,2.09000,0.56000,-0.56000,0,1089,69,-69,0,3458.00,140.00,-133.00,0,0.39,0.02,-0.02,0
K2-3 c,0.140500,0.006700,-0.006700,0,1.644,0.160,-0.065,0,2.10000,2.10000,-1.30000,0,,,,,,,,,0.55,0.04,-0.04,0
K2-32 e,0.048990,0.000410,-0.000380,0,1.212,0.052,-0.046,0,2.10000,1.30000,-1.10000,0,1066,16,-18,0,5271.00,39.00,-35.00,0,0.86,0.02,-0.02,0
Kepler-307 b,,,,,3.210,1.200,-0.470,0,2.10000,1.10000,-0.80000,0,,,,,,,,,1.08,,,0
Kepler-80 e,,,,,1.300,0.100,-0.100,0,2.10000,0.70000,-0.70000,0,,,,,,,,,,,,
Kepler-345 c,,,,,1.300,0.100,-0.100,0,2.20000,0.90000,-0.90000,0,,,,,,,,,,,,
LTT 1445 A b,0.038070,0.000680,-0.000710,0,1.380,0.130,-0.120,0,2.20000,1.70000,-2.10000,0,433,28,-27,0,3337.00,150.00,-150.00,0,0.28,0.02,-0.02,0
TOI-1266 c,0.105800,0.002300,-0.002400,0,1.560,0.150,-0.130,0,2.20000,2.00000,-1.50000,0,344,16,-16,0,3600.00,150.00,-150.00,0,0.42,0.02,-0.02,0
L 98-59 c,0.030400,0.001100,-0.001200,0,1.385,0.095,-0.075,0,2.22000,0.26000,-0.25000,0,553,27,-26,0,3415.00,135.00,-135.00,0,0.30,0.03,-0.02,0
KOI-1831 d,,,,,1.130,0.050,-0.050,0,2.23000,0.50000,-0.84000,0,475,9,-9,0,5233.00,60.00,-60.00,0,0.83,0.02,-0.02,0
Kepler-11 f,0.250000,0.009000,-0.009000,0,2.610,0.250,-0.250,0,2.30000,2.20000,-1.20000,0,,,,,5680.00,100.00,-100.00,0,1.10,0.10,-0.10,0
L 98-59 d,0.050600,0.000200,-0.000200,0,1.570,0.140,-0.140,0,2.31000,0.46000,-0.45000,0,409,8,-8,0,3412.00,49.00,-49.00,0,0.31,0.01,-0.01,0
LHS 1478 b,0.018480,0.000610,-0.000630,0,1.242,0.051,-0.049,0,2.33000,0.20000,-0.20000,0,595,10,-10,0,3381.00,54.00,-54.00,0,0.25,0.01,-0.01,0
LTT 3780 b,0.012030,0.000540,-0.000530,0,1.350,0.060,-0.060,0,2.34000,0.24000,-0.23000,0,1000,98,-100,0,3360.00,51.00,-51.00,0,0.38,0.01,-0.01,0
GJ 9827 d,0.061100,0.006000,-0.006800,0,2.040,0.180,-0.180,0,2.35000,0.70000,-0.68000,0,646,26,-15,0,4219.00,70.00,-70.00,0,0.62,0.05,-0.05,0
Kepler-65 b,,,,,1.444,0.037,-0.031,0,2.40000,2.40000,-1.60000,0,,,,,,,,,1.44,0.03,-0.03,0
GJ 9827 c,0.039420,0.000620,-0.000640,0,1.269,0.087,-0.089,0,2.42000,0.75000,-0.49000,0,811,30,-30,0,4269.00,98.00,-99.00,0,0.61,0.03,-0.03,0
L 98-59 c,0.031700,0.000100,-0.000100,0,1.350,0.070,-0.070,0,2.42000,0.35000,-0.34000,0,517,11,-11,0,3412.00,49.00,-49.00,0,0.31,0.01,-0.01,0
K2-229 b,,,,,1.197,0.045,-0.048,0,2.49000,0.42000,-0.43000,0,,,,,5185.00,32.00,-32.00,0,0.78,0.01,-0.01,0
Kepler-11 f,,,,,2.370,0.170,-0.150,0,2.50000,2.80000,-2.30000,0,,,,,,,,,1.05,,,0
TOI-1064 c,0.094290,0.001320,-0.001360,0,2.651,0.043,-0.042,0,2.50000,1.80000,-2.00000,0,634,10,-10,0,4734.00,67.00,-67.00,0,0.73,0.01,-0.01,0
K2-229 b,0.012888,0.000130,-0.000130,0,1.164,0.066,-0.048,0,2.59000,0.43000,-0.43000,0,1960,40,-40,0,5185.00,32.00,-32.00,0,0.79,0.03,-0.02,0
Kepler-93 b,,,,,1.500,0.030,-0.030,0,2.59000,2.00000,-2.00000,0,,,,,5669.00,75.00,-75.00,0,0.92,0.02,-0.02,0
Kepler-102 d,,,,,1.170,0.050,-0.070,0,2.60000,1.30000,-1.10000,0,,,,,,,,,0.76,,,0
LTT 3780 b,0.012110,0.000120,-0.000120,0,1.332,0.072,-0.075,0,2.62000,0.48000,-0.46000,0,892,44,-44,0,3331.00,157.00,-157.00,0,0.37,0.01,-0.01,0
Kepler-359 d,,,,,4.600,0.900,-0.900,0,2.70000,2.50000,-1.50000,0,,,,,,,,,,,,
Kepler-406 c,,,,,0.850,0.030,-0.030,0,2.71000,1.80000,-1.80000,0,,,,,5538.00,75.00,-75.00,0,1.07,0.02,-0.02,0
Kepler-114 c,,,,,1.600,0.180,-0.180,0,2.80000,0.60000,-0.60000,0,,,,,,,,,0.54,0.06,-0.06,0
GJ 486 b,0.017340,0.000260,-0.000270,0,1.305,0.063,-0.067,0,2.82000,0.11000,-0.12000,0,701,13,-13,0,3340.00,54.00,-54.00,0,0.33,0.01,-0.01,0
LTT 1445 A b,0.038130,0.000680,-0.000700,0,1.305,0.066,-0.061,0,2.87000,0.26000,-0.25000,0,424,21,-21,0,3340.00,150.00,-150.00,0,0.27,0.01,-0.01,0
Kepler-11 c,0.107000,0.001000,-0.001000,0,2.870,0.050,-0.060,0,2.90000,2.90000,-1.60000,0,,,,,5663.00,55.00,-66.00,0,1.06,0.02,-0.02,0
Kepler-359 c,,,,,4.800,1.000,-0.900,0,2.90000,2.40000,-1.90000,0,,,,,,,,,,,,
Kepler-100 d,,,,,1.610,0.050,-0.050,0,3.00000,,,1,,,,,5825.00,75.00,-75.00,0,1.49,0.04,-0.04,0
Kepler-102 c,,,,,0.580,0.020,-0.020,0,3.00000,,,1,,,,,4903.00,74.00,-74.00,0,0.74,0.02,-0.02,0
Kepler-105 c,,,,,1.850,1.010,-0.370,0,3.00000,9.20000,-2.00000,0,,,,,,,,,1.33,,,0
TOI-561 f,0.117400,0.001500,-0.001500,0,2.320,0.160,-0.160,0,3.00000,2.40000,-1.90000,0,750,60,-60,0,5326.00,64.00,-64.00,0,0.83,0.02,-0.02,0
TOI-178 d,0.059200,0.001800,-0.001800,0,2.572,0.075,-0.078,0,3.01000,0.80000,-1.03000,0,690,14,-14,0,4316.00,70.00,-70.00,0,0.65,0.01,-0.01,0
TOI-431 b,0.011300,0.000200,-0.000300,0,1.280,0.040,-0.040,0,3.07000,0.35000,-0.35000,0,1862,42,-42,0,4850.00,75.00,-75.00,0,0.73,0.02,-0.02,0
Kepler-20 e,,,,,0.868,0.074,-0.096,0,3.08000,,,1,1040,22,-22,0,5466.00,93.00,-93.00,0,0.94,0.06,-0.10,0
K2-138 b,0.033850,0.000230,-0.000290,0,1.510,0.110,-0.084,0,3.10000,1.05000,-1.05000,0,,,,,5356.30,41.80,-13.10,0,0.86,0.03,-0.02,0
K2-3 c,0.141300,0.004400,-0.004700,0,1.770,0.180,-0.180,0,3.10000,1.30000,-1.20000,0,,,,,3835.00,70.00,-70.00,0,0.60,0.06,-0.06,0
Kepler-307 b,,,,,3.200,1.200,-0.460,0,3.10000,0.60000,-0.50000,0,,,,,,,,,1.08,0.41,-0.16,0
Kepler-47 c,0.963800,0.004100,-0.004400,0,4.650,0.090,-0.070,0,3.17000,2.18000,-1.25000,0,,,,,,,,,0.94,0.01,-0.01,0
Kepler-37 b,,,,,0.296,0.037,-0.037,0,3.17830,3.17830,-3.17830,0,,,,,5417.00,75.00,-75.00,0,0.79,0.03,-0.03,0
Kepler-254 c,,,,,2.090,0.840,-0.160,0,3.20000,3.70000,-2.70000,0,,,,,,,,,0.89,,,0
Kepler-407 b,,,,,1.070,0.020,-0.020,0,3.20000,,,1,,,,,5476.00,75.00,-75.00,0,1.01,0.07,-0.07,0
TOI-561 b,0.010640,0.000130,-0.000130,0,1.450,0.110,-0.110,0,3.20000,0.80000,-0.80000,0,2480,200,-200,0,5326.00,64.00,-64.00,0,0.83,0.02,-0.02,0
Kepler-595 c,,,,,1.009,0.024,-0.024,0,3.30000,1.70000,-1.00000,0,,,,,,,,,0.82,0.24,-0.24,0
Kepler-10 b,0.016850,0.000130,-0.000130,0,1.470,0.030,-0.030,0,3.33000,0.49000,-0.49000,0,2169,96,-44,0,5708.00,28.00,-28.00,0,1.06,0.01,-0.01,0
Kepler-79 e,,,,,2.900,0.500,-0.400,0,3.40000,1.00000,-0.80000,0,,,,,,,,,,,,
GJ 9827 b,0.018880,0.000300,-0.000310,0,1.620,0.110,-0.110,0,3.42000,1.20000,-0.76000,0,1172,43,-43,0,4269.00,98.00,-99.00,0,0.61,0.03,-0.03,0
TOI-1685 b,0.011557,0.000092,-0.000092,0,1.459,0.065,-0.065,0,3.43000,0.93000,-0.93000,0,1052,26,-26,0,3461.00,70.00,-70.00,0,0.46,0.01,-0.01,0
Kepler-414 b,,,,,1.710,0.310,-0.140,0,3.50000,3.40000,-2.90000,0,,,,,,,,,0.95,,,0
Kepler-107 b,0.045440,0.000350,-0.000350,0,1.536,0.025,-0.025,0,3.51000,1.52000,-1.52000,0,1593,19,-19,0,5854.00,61.00,-61.00,0,1.45,0.01,-0.01,0
Kepler-97 b,,,,,1.480,0.130,-0.130,0,3.51000,1.90000,-1.90000,0,,,,,5779.00,74.00,-74.00,0,0.98,0.09,-0.09,0
Kepler-98 b,,,,,1.990,0.220,-0.220,0,3.55000,1.60000,-1.60000,0,,,,,5539.00,73.00,-73.00,0,1.11,0.12,-0.12,0
Kepler-10 b,,,,,1.489,0.023,-0.021,0,3.57000,0.51000,-0.53000,0,,,,,5708.00,28.00,-28.00,0,1.07,0.02,-0.01,0
Kepler-105 c,,,,,1.600,0.200,-0.300,0,3.60000,1.30000,-1.30000,0,,,,,,,,,,,,
Kepler-307 c,,,,,2.200,0.070,-0.070,0,3.64000,0.65000,-0.58000,0,,,,,5367.00,94.00,-94.00,0,0.81,0.02,-0.02,0
GJ 9827 b,0.020600,0.002000,-0.002300,0,1.580,0.140,-0.130,0,3.69000,0.48000,-0.46000,0,1114,46,-26,0,4219.00,70.00,-70.00,0,0.62,0.05,-0.05,0
HD 21749 c,0.069500,0.002100,-0.002300,0,0.892,0.064,-0.058,0,3.70000,,,1,701,25,-23,0,4640.00,100.00,-100.00,0,0.69,0.03,-0.03,0
Kepler-60 b,,,,,1.600,0.300,-0.300,0,3.70000,0.60000,-0.60000,0,,,,,,,,,,,,
Kepler-80 d,,,,,1.300,0.100,-0.100,0,3.70000,0.80000,-0.60000,0,,,,,,,,,,,,
Kepler-10 b,0.016850,0.000130,-0.000130,0,1.470,0.030,-0.030,0,3.72000,0.42000,-0.42000,0,,,,,5708.00,28.00,-28.00,0,1.06,0.01,-0.01,0
Kepler-101 c,0.068400,0.001400,-0.001400,0,1.250,0.190,-0.170,0,3.78000,,,1,1413,238,-210,0,5667.00,50.00,-50.00,0,1.56,0.20,-0.20,0
TOI-1685 b,,,,,1.700,0.070,-0.070,0,3.78000,0.63000,-0.63000,0,1069,16,-16,0,3434.00,51.00,-51.00,0,0.49,0.01,-0.01,0
Kepler-102 d,,,,,1.180,0.040,-0.040,0,3.80000,1.80000,-1.80000,0,,,,,4903.00,74.00,-74.00,0,0.74,0.02,-0.02,0
Kepler-107 d,0.083770,0.000650,-0.000650,0,0.860,0.060,-0.060,0,3.80000,,,1,1173,14,-14,0,5854.00,61.00,-61.00,0,1.45,0.01,-0.01,0
Kepler-93 b,,,,,1.478,0.019,-0.019,0,3.80000,1.50000,-1.50000,0,1037,13,-13,0,5669.00,75.00,-75.00,0,0.92,0.01,-0.01,0
Kepler-138 c,,,,,1.610,0.160,-0.150,0,3.83000,1.51000,-1.26000,0,,,,,3871.00,58.00,-58.00,0,0.54,0.05,-0.05,0
Kepler-36 b,,,,,1.498,0.061,-0.049,0,3.83000,0.11000,-0.10000,0,,,,,5979.00,60.00,-60.00,0,1.63,0.04,-0.04,0
Kepler-60 c,,,,,1.900,0.150,-0.150,0,3.85000,0.81000,-0.81000,0,,,,,5905.00,144.00,-144.00,0,1.26,0.09,-0.09,0
TOI-178 e,0.078300,0.002300,-0.002400,0,2.207,0.088,-0.090,0,3.86000,1.25000,-0.94000,0,600,12,-12,0,4316.00,70.00,-70.00,0,0.65,0.01,-0.01,0
TOI-1444 b,,,,,1.397,0.064,-0.064,0,3.87000,0.71000,-0.71000,0,,,,,5430.00,90.00,-90.00,0,0.91,0.02,-0.02,0
K2-36 b,0.022300,0.000400,-0.000400,0,1.430,0.080,-0.080,0,3.90000,1.10000,-1.10000,0,1224,13,-13,0,4916.00,35.00,-37.00,0,0.72,0.01,-0.01,0
Kepler-114 d,,,,,2.530,0.280,-0.280,0,3.90000,1.70000,-1.70000,0,,,,,,,,,0.54,0.06,-0.06,0
Kepler-307 c,,,,,2.700,0.300,-0.300,0,3.90000,0.70000,-0.70000,0,,,,,,,,,,,,
Kepler-307 c,,,,,2.720,0.310,-0.300,0,3.90000,0.70000,-0.69000,0,,,,,,,,,0.99,0.13,-0.08,0
Kepler-36 b,,,,,1.500,0.100,-0.100,0,3.90000,0.20000,-0.20000,0,,,,,,,,,,,,
Kepler-60 d,,,,,1.600,0.300,-0.300,0,3.90000,0.70000,-0.60000,0,,,,,,,,,,,,
Kepler-33 d,,,,,4.580,0.960,-0.960,0,3.91000,1.87000,-1.80000,0,,,,,,,,,1.69,0.26,-0.42,0
Kepler-48 b,,,,,1.880,0.100,-0.100,0,3.94000,2.10000,-2.10000,0,,,,,5194.00,73.00,-73.00,0,0.89,0.05,-0.05,0
TOI-178 g,0.127500,0.003800,-0.003900,0,2.870,0.140,-0.130,0,3.94000,1.31000,-1.62000,0,470,10,-10,0,4316.00,70.00,-70.00,0,0.65,0.01,-0.01,0
Kepler-223 b,,,,,2.200,0.400,-0.400,0,4.00000,1.70000,-2.10000,0,,,,,,,,,,,,
Kepler-289 d,0.330000,0.020000,-0.020000,0,2.680,0.170,-0.170,0,4.00000,0.90000,-0.90000,0,,,,,5990.00,38.00,-38.00,0,1.00,0.02,-0.02,0
Kepler-29 c,,,,,3.140,0.200,-0.200,0,4.00000,1.23000,-1.29000,0,,,,,5701.00,102.00,-102.00,0,0.93,0.06,-0.06,0
Kepler-62 c,0.092900,0.000900,-0.000900,0,0.540,0.030,-0.030,0,4.00000,,,1,578,31,-31,0,4925.00,70.00,-70.00,0,0.64,0.02,-0.02,0
TOI-776 b,0.065200,0.001500,-0.001500,0,1.850,0.130,-0.130,0,4.00000,0.90000,-0.90000,0,514,17,-17,0,3709.00,70.00,-70.00,0,0.54,0.02,-0.02,0
Kepler-93 b,0.053000,0.002000,-0.002000,0,1.478,0.019,-0.019,0,4.02000,0.68000,-0.68000,0,1037,13,-13,0,5655.00,157.36,-125.17,0,0.92,0.05,-0.05,0
